2018-02-12 01:49:04,300 [DEBUG] __main__: Iter 88, turn UNI, randomaction: dlpn
2018-02-12 01:49:04,300 [DEBUG] __main__: Iter 88, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,301 [DEBUG] __main__: Iter 89, turn UNI, randomaction: lrpn
2018-02-12 01:49:04,301 [DEBUG] __main__: Iter 89, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,301 [DEBUG] __main__: Iter 90, turn UNI, randomaction: durn
2018-02-12 01:49:04,301 [DEBUG] __main__: Iter 90, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,302 [DEBUG] __main__: Iter 91, turn UNI, randomaction: drrn
2018-02-12 01:49:04,302 [DEBUG] __main__: Iter 91, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,302 [DEBUG] __main__: Iter 92, turn UNI, randomaction: luun
2018-02-12 01:49:04,302 [DEBUG] __main__: Iter 92, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,303 [DEBUG] __main__: Iter 93, turn UNI, randomaction: plun
2018-02-12 01:49:04,303 [DEBUG] __main__: Iter 93, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,303 [DEBUG] __main__: Iter 94, turn UNI, randomaction: lrun
2018-02-12 01:49:04,303 [DEBUG] __main__: Iter 94, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,303 [DEBUG] __main__: Iter 95, turn UNI, randomaction: lpun
2018-02-12 01:49:04,304 [DEBUG] __main__: Iter 95, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,304 [DEBUG] __main__: Iter 96, turn UNI, randomaction: pupn
2018-02-12 01:49:04,304 [DEBUG] __main__: Iter 96, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,304 [DEBUG] __main__: Iter 97, turn UNI, randomaction: drrn
2018-02-12 01:49:04,305 [DEBUG] __main__: Iter 97, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,305 [DEBUG] __main__: Iter 98, turn UNI, randomaction: lprn
2018-02-12 01:49:04,305 [DEBUG] __main__: Iter 98, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,305 [DEBUG] __main__: Iter 99, turn UNI, randomaction: lrrn
2018-02-12 01:49:04,305 [DEBUG] __main__: Iter 99, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,306 [DEBUG] __main__: PASS: Test 2 passed. The random action generator works for both turns.
2018-02-12 01:49:04,308 [DEBUG] __main__: PASS: After acting freewill, new state is [12 13 16 17 22 23 26 34 36 37 38 41 43 45 54 55 56 57 63 66 71 73 83 84 88
 92] with reward 0
2018-02-12 01:49:04,308 [DEBUG] root: Random action generated is nnnu
2018-02-12 01:49:04,309 [DEBUG] root: Reward returned for are.respond is 1 and new state is [12 13 16 17 22 23 34 36 37 38 41 43 45 54 55 56 57 63 66 71 73 83 84 88 92]
2018-02-12 01:49:04,311 [DEBUG] root: PASS: act_external with random action updn and returned reward 0 with new state [12 13 17 22 23 26 27 34 36 38 41 43 45 54 55 56 57 63 66 71 73 83 84 88 92]
2018-02-12 01:49:04,311 [DEBUG] root: Reward returned for are.respond is 0 and new state is [12 13 17 22 23 26 27 34 36 38 41 43 45 54 55 56 57 63 66 71 73 83 84 88 92]
2018-02-12 01:49:04,312 [DEBUG] __main__: The generated random actions for UNI look like this 
 ['duun', 'durn', 'dupn', 'dlun', 'dlrn', 'dlpn', 'drun', 'drrn', 'drpn', 'dpun', 'dprn', 'dppn', 'luun', 'lurn', 'lupn', 'llun', 'llrn', 'llpn', 'lrun', 'lrrn', 'lrpn', 'lpun', 'lprn', 'lppn', 'puun', 'purn', 'pupn', 'plun', 'plrn', 'plpn', 'prun', 'prrn', 'prpn', 'ppun', 'pprn', 'pppn']
2018-02-12 01:49:04,312 [DEBUG] __main__: PASS: Test 1 passed. The number of legal actions function works
2018-02-12 01:49:04,312 [DEBUG] __main__: Iter 0, turn UNI, randomaction: durn
2018-02-12 01:49:04,312 [DEBUG] __main__: Iter 0, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,313 [DEBUG] __main__: Iter 1, turn UNI, randomaction: plrn
2018-02-12 01:49:04,313 [DEBUG] __main__: Iter 1, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,313 [DEBUG] __main__: Iter 2, turn UNI, randomaction: dlpn
2018-02-12 01:49:04,313 [DEBUG] __main__: Iter 2, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,314 [DEBUG] __main__: Iter 3, turn UNI, randomaction: duun
2018-02-12 01:49:04,314 [DEBUG] __main__: Iter 3, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,314 [DEBUG] __main__: Iter 4, turn UNI, randomaction: dlpn
2018-02-12 01:49:04,314 [DEBUG] __main__: Iter 4, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,315 [DEBUG] __main__: Iter 5, turn UNI, randomaction: luun
2018-02-12 01:49:04,315 [DEBUG] __main__: Iter 5, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,315 [DEBUG] __main__: Iter 6, turn UNI, randomaction: drun
2018-02-12 01:49:04,315 [DEBUG] __main__: Iter 6, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,316 [DEBUG] __main__: Iter 7, turn UNI, randomaction: drrn
2018-02-12 01:49:04,316 [DEBUG] __main__: Iter 7, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,316 [DEBUG] __main__: Iter 8, turn UNI, randomaction: lppn
2018-02-12 01:49:04,316 [DEBUG] __main__: Iter 8, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,317 [DEBUG] __main__: Iter 9, turn UNI, randomaction: plun
2018-02-12 01:49:04,317 [DEBUG] __main__: Iter 9, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,317 [DEBUG] __main__: Iter 10, turn UNI, randomaction: lrun
2018-02-12 01:49:04,317 [DEBUG] __main__: Iter 10, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,317 [DEBUG] __main__: Iter 11, turn UNI, randomaction: puun
2018-02-12 01:49:04,318 [DEBUG] __main__: Iter 11, turn AIG, randomaction: nnnu
